review_id,order_id,customer_id,restaurant_id,review_text,rating,review_timestamp
REV-000001,ORD-20250912-774969,CUST-13598,REST-AUH-002,Exceptional quality! Ordered Jeera Rice  Lamb Rogan Josh  Fish Curry  and Chicken Tikka Masala and everything was delicious. The Chicken Tikka Masala melted in my mouth. Perfect!,5,2025-09-14T20:02:51.261864
REV-000003,ORD-20250914-128906,CUST-13953,REST-DXB-001,Perfect in every way! Malai Kofta  Mango Lassi  and Fish Curry were all excellent. Mango Lassi stood out with its rich  authentic taste.,5,2025-09-15T11:43:08.261864
REV-000006,ORD-20250917-588175,CUST-13757,REST-DXB-002,Absolutely amazing Paneer Butter Masala  Vegetable Biryani  Kulfi  Butter Chicken  and Gulab Jamun (2 pcs)! The Gulab Jamun (2 pcs) was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2025-09-18T11:18:37.261864
REV-000002,ORD-20250913-816199,CUST-12813,REST-DXB-002,Best Indian food in UAE! Chicken Seekh Kebab  Butter Chicken  Chicken Tikka Masala  Dal Makhani  and Paneer Butter Masala were incredible. Paneer Butter Masala had the perfect balance of spices. Five stars!,5,2025-09-18T17:48:19.261864
REV-000005,ORD-20250916-212159,CUST-11894,REST-AUH-002,Outstanding experience! The Naan  Fresh Lime Soda  Palak Paneer  Chicken Tikka Masala  and Mango Lassi exceeded all expectations. Palak Paneer was the star of the meal. Will definitely order again!,5,2025-09-18T22:37:37.261864
REV-000004,ORD-20250916-845720,CUST-10659,REST-AUH-001,Enjoyed the Paneer Tikka  Dal Makhani  Butter Naan  Chicken Biryani  and Garlic Naan! Garlic Naan was very good. Portion sizes were generous. Recommend!,4,2025-09-20T12:02:23.261864
REV-000008,ORD-20250919-199848,CUST-11683,REST-AUH-002,Decent food but nothing special. Fish Curry and Mango Lassi were okay. Mango Lassi lacked the punch I expected.,3,2025-09-22T13:05:48.261864
REV-000009,ORD-20250920-863035,CUST-10522,REST-DXB-001,Outstanding experience! The Aloo Tikki Chaat and Chicken Biryani exceeded all expectations. Chicken Biryani was the star of the meal. Will definitely order again!,5,2025-09-24T16:25:44.261864
REV-000007,ORD-20250917-233678,CUST-13284,REST-AUH-001,Exceptional quality! Ordered Samosa (2 pcs) and everything was delicious. The Samosa (2 pcs) melted in my mouth. Perfect!,5,2025-09-24T22:04:24.261864
REV-000010,ORD-20250921-977710,CUST-10992,REST-AUH-002,Wow! Just wow! Vegetable Biryani were all fantastic. Vegetable Biryani was particularly memorable. Can't wait to order again!,5,2025-09-26T12:43:53.261864
REV-000011,ORD-20250921-799480,CUST-13774,REST-DXB-001,Hands down the best Masala Chai I've ever had! Naan  Masala Chai  and Paneer Butter Masala were all prepared beautifully. Fresh and flavorful!,5,2025-09-27T14:41:42.261864
REV-000012,ORD-20250925-595205,CUST-11314,REST-DXB-001,Absolutely amazing Paneer Butter Masala  Aloo Tikki Chaat  and Chicken Seekh Kebab! The Chicken Seekh Kebab was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2025-09-28T12:04:03.261864
REV-000013,ORD-20250926-552966,CUST-14776,REST-DXB-001,Good quality food. Jeera Rice  Vegetable Biryani  Chicken Seekh Kebab  Chicken 65  and Fish Curry were nicely done. Chicken 65 could have been slightly spicier but still good!,4,2025-09-30T11:12:32.261864
REV-000015,ORD-20250928-123506,CUST-10123,REST-DXB-002,Hands down the best Dal Makhani I've ever had! Dal Makhani  Butter Chicken  Chicken Tikka Masala  Rasmalai (2 pcs)  and Chicken 65 were all prepared beautifully. Fresh and flavorful!,5,2025-10-01T16:57:36.261864
REV-000016,ORD-20250929-393494,CUST-14973,REST-DXB-001,Not bad  not great. Samosa (2 pcs)  Mango Lassi  and Dal Makhani were edible. Dal Makhani needed more seasoning.,3,2025-10-02T14:07:50.261864
REV-000014,ORD-20250928-928780,CUST-13213,REST-DXB-002,Exceptional quality! Ordered Paneer Butter Masala and Chicken Seekh Kebab and everything was delicious. The Paneer Butter Masala melted in my mouth. Perfect!,5,2025-10-02T14:27:35.261864
REV-000017,ORD-20250930-338343,CUST-12377,REST-DXB-002,Average experience. Butter Naan  Chicken Tikka Masala  Masala Chai  and Chicken Seekh Kebab were fine but Chicken Seekh Kebab was a bit bland. Room for improvement.,3,2025-10-07T15:22:52.261864
REV-000018,ORD-20251009-405531,CUST-11639,REST-DXB-002,Average experience. Tandoori Roti  Dal Makhani  Fish Curry  and Masala Chai were fine but Tandoori Roti was a bit bland. Room for improvement.,3,2025-10-10T14:35:17.261864
